"DateTimeTaggedUTC","Site","Species","BandNumber","FieldReadableCode","FdReadBkGrdColour","FdReadCodeColour","BiologgerID","NestID","clutchSizeOnTagDate","NestTreatment2022","NestTreatment2023","nestRelativeToColony","TotalHead","Culmen","BillDepth","Wing","Tarsus","Mass","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","Bander","BandAssistants","Comments","Latitude","Longitude","Score","Sex"
2022-05-18 22:21:00,"Country Island","Herring Gull",117661818,"EMP","pink","white","LAR09","0021",3,"Destroyed",NA,"inside",118.4,53.7,19.1,418,63.3,950,1,0,0,0,0,0,0,0,0,0,"Karel Allard","Megan Boucher","Foundation 2 - maybe #21",45.101006962359,-61.5425779949874,-14.2829,"Female"
2023-05-23 18:07:00,"Country Island","Herring Gull",117661821,"FAZ","pink","white","SOM06","E2",NA,NA,"Destroyed","inside",128.9,59,21.2,435,72.8,1101,0,0,0,0,0,0,0,0,0,0,"Sarah Gutowsky","Doug Hynes",NA,45.101137,-61.542388,3.47040000000001,"Male"
2023-05-23 18:42:00,"Country Island","Herring Gull",117661824,"FAR","pink","white","SOM02","E5",NA,NA,"Intact","inside",121.7,52.5,20.1,435,63.4,941,0,1,0,0,0,0,0,0,0,0,"Other","Other",NA,45.100553,-61.543028,-6.1343,"Female"
2023-05-23 18:58:09,"Country Island","Herring Gull",117661826,"FAF","pink","white","SOM14","E8",NA,NA,"Destroyed","inside",133.8,60.5,22.4,452,72.7,1301,0,0,0,0,0,0,0,0,0,0,"Sarah Gutowsky","Sarah Gutowsky",NA,45.100956,-61.542586,13.6248,"Male"
2023-05-23 18:02:00,"Country Island","Herring Gull",117661820,"FAX","pink","white","SOM11","E1",3,NA,"Intact","inside",130,59.7,20.1,432,72.9,1101,0,1,0,0,0,0,0,0,0,0,"Karel Allard","Sarah Gutowsky, Mark Mallory",NA,45.101281,-61.542249,0.861300000000028,"Male"
2023-05-23 18:22:00,"Country Island","Herring Gull",117661822,"FAU","pink","white","SOM10","E3",3,NA,"Intact","inside",136.6,66.6,21.7,451,78.8,1231,3,3,2,0,0,0,0,0,0,0,"Karel Allard","Other, Mark Mallory",NA,45.101195,-61.542306,13.9613,"Male"
2023-05-23 18:34:00,"Country Island","Herring Gull",117661823,"FAA","pink","white","SOM15","E4",3,NA,"Destroyed","inside",135.3,61.7,21.9,453,76,1201,2,1,0,0,0,0,0,0,0,0,"Karel Allard","Other, Mark Mallory",NA,45.101274,-61.542251,13.6523,"Male"
2023-05-23 18:46:00,"Country Island","Herring Gull",117661825,"FAT","pink","white","SOM13","E6",3,NA,"Intact","inside",124.6,58,20.2,438,66,1071,2,2,0,0,0,0,0,0,0,0,"Karel Allard","Other, Mark Mallory",NA,45.101057,-61.542568,-2.8502,"Female"
2023-05-23 18:57:00,"Country Island","Herring Gull",117661801,"EHK","pink","white","SOM12","E7",3,NA,"Destroyed","inside",121.5,55.4,18.8,435,62.9,981,3,2,0,0,0,0,0,0,0,0,"Karel Allard","Other, Mark Mallory",NA,45.100993,-61.542612,-10.0736,"Female"
2023-05-23 20:39:11,"Country Island","Herring Gull",117661830,"FAM","pink","white","SOM09","E12",3,NA,"Destroyed","inside",119.9,52.6,19,426,63.6,1001,1,0,0,0,0,0,0,0,0,0,"Mark Mallory","Other",NA,45.101088,-61.542949,-12.1462,"Female"
2023-05-23 19:39:00,"Country Island","Herring Gull",117661827,"FAC","pink","white","SOM04","E9",3,NA,"Intact","inside",123.1,56.7,20.6,425,64.5,991,2,0,0,0,0,0,0,0,0,0,"Karel Allard","Karel Allard",NA,45.101134,-61.543301,-4.79899999999998,"Female"
2023-05-23 20:23:00,"Country Island","Herring Gull",117661828,"FAE","pink","white","SOM07","E10",3,NA,"Destroyed","outside",120.6,54.8,20.6,444,64.4,1031,2,1,0,0,0,0,0,0,0,0,"Karel Allard","Other, Mark Mallory",NA,45.102813,-61.54501,-4.44499999999999,"Female"
2023-05-23 20:37:00,"Country Island","Herring Gull",117661829,"FAK","pink","white","SOM05","E11",3,NA,"Intact","inside",131.9,60.7,22.5,443,69.9,1311,3,2,1,0,0,0,0,0,0,0,"Karel Allard","Other",NA,45.10109,-61.542666,10.9953,"Male"
2023-05-23 20:54:00,"Country Island","Herring Gull",117661831,"FAJ","pink","white","SOM03","E13",3,NA,"Intact","outside",124,58.1,19.5,441,66.3,971,3,2,1,0,0,0,0,0,0,0,"Karel Allard","Other",NA,45.103221,-61.543744,-5.0025,"Female"
2023-05-23 21:27:00,"Country Island","Herring Gull",117661832,"FAN","pink","white","SOM08","E14",3,NA,"Intact","inside",119.7,55.8,19.5,432,67.5,1061,2,0,0,0,0,0,0,0,0,0,"Karel Allard","Sarah Neima","Gsm 8",45.101459,-61.542429,-10.0621,"Female"
2023-05-23 21:46:00,"Country Island","Herring Gull",117661833,"FAL","pink","white","SOM01","E15",3,NA,"Destroyed","outside",131.8,59.6,21.7,445,74.6,1196,1,1,0,0,0,0,0,0,0,0,"Karel Allard","Other",NA,45.103265,-61.544022,8.86370000000002,"Male"
